seed,alpha,valid_mrr,valid_h1,valid_h10,test_mrr,test_h1,test_h10,eval_time_ms,peak_gpu_mem_mb
42,0.0,0.56453,0.511206,0.661503,0.564749,0.512444,0.663529,183378.31,1487.09
42,0.1,0.56582,0.51236,0.665458,0.566974,0.515635,0.664965,195324.0,1021.96
42,0.2,0.566302,0.513184,0.665293,0.567854,0.51723,0.664965,196008.43,1021.96
42,0.3,0.566958,0.514832,0.665788,0.568084,0.517709,0.665444,191171.56,1021.96
42,0.4,0.566825,0.514008,0.666447,0.568471,0.518507,0.665922,193618.68,1021.96
42,0.5,0.567099,0.514502,0.666777,0.569056,0.519623,0.666401,194654.39,1021.96
42,0.6,0.567191,0.514502,0.666777,0.56876,0.519145,0.665603,197751.0,1021.96
42,0.7,0.567705,0.515491,0.667271,0.569909,0.52074,0.667039,186863.93,1021.96
42,0.8,0.568241,0.51648,0.665953,0.569445,0.520581,0.668475,187008.94,1021.96
42,0.9,0.565906,0.513514,0.663316,0.567977,0.519623,0.66672,182771.28,1021.96
123,0.0,0.565451,0.514338,0.661833,0.561753,0.510211,0.661136,180722.97,1487.09
123,0.1,0.568977,0.518457,0.665953,0.565942,0.515795,0.664646,203609.15,1141.45
123,0.2,0.569322,0.518787,0.666282,0.566431,0.516592,0.665284,201513.93,1141.45
123,0.3,0.569309,0.519117,0.666447,0.566692,0.517549,0.665603,203343.3,1141.45
123,0.4,0.569883,0.520105,0.665953,0.566452,0.517071,0.665124,202138.96,1141.45
123,0.5,0.569435,0.519446,0.666612,0.56645,0.51723,0.665444,197803.73,1141.45
123,0.6,0.569103,0.518952,0.665293,0.566609,0.51739,0.666082,211350.5,1141.45
123,0.7,0.569137,0.519281,0.665458,0.566564,0.51739,0.665763,200362.44,1141.45
123,0.8,0.567305,0.516809,0.665623,0.564876,0.514837,0.664008,195882.78,1141.45
123,0.9,0.563221,0.513843,0.661173,0.561968,0.51372,0.660498,185541.24,1141.45
1234,0.0,0.565333,0.512854,0.666282,0.564967,0.513242,0.663689,178156.03,1487.09
1234,0.1,0.567483,0.514173,0.669249,0.56814,0.51739,0.66656,190111.67,942.27
1234,0.2,0.567824,0.515162,0.668425,0.568746,0.518666,0.66656,192279.35,942.27
1234,0.3,0.568501,0.51648,0.668589,0.569043,0.519623,0.66656,196478.94,942.27
1234,0.4,0.568383,0.516315,0.668589,0.569061,0.519943,0.66656,190056.04,942.27
1234,0.5,0.56897,0.517469,0.668589,0.569036,0.519783,0.667039,188827.21,942.27
1234,0.6,0.56867,0.516974,0.669249,0.569526,0.520262,0.667518,186123.99,942.27
1234,0.7,0.568779,0.517304,0.668095,0.569053,0.519304,0.66656,187332.92,942.27
1234,0.8,0.567586,0.515656,0.666777,0.568607,0.519145,0.665444,184715.68,942.27
1234,0.9,0.565915,0.515162,0.662657,0.565469,0.51739,0.660976,179809.2,942.27
