seed,alpha,valid_mrr,valid_h1,valid_h10,test_mrr,test_h1,test_h10,eval_time_ms,peak_gpu_mem_mb
42,0.0,0.564458,0.511042,0.661503,0.564757,0.512444,0.663529,180151.34,1487.09
42,0.1,0.566832,0.513678,0.664799,0.566826,0.514518,0.666879,250071.99,1487.09
42,0.2,0.567291,0.514338,0.664964,0.567351,0.514997,0.667039,258334.74,1487.09
42,0.3,0.567699,0.515491,0.665623,0.567945,0.516273,0.668794,255310.97,1487.09
42,0.4,0.567992,0.516315,0.666282,0.568041,0.516273,0.668794,253412.78,1487.09
42,0.5,0.567643,0.515326,0.665953,0.568309,0.516592,0.668794,253136.99,1487.09
42,0.6,0.568603,0.516645,0.666117,0.568816,0.517549,0.668475,251476.16,1487.09
42,0.7,0.568502,0.51648,0.666777,0.569081,0.517869,0.668953,253850.86,1487.09
42,0.8,0.569035,0.517304,0.666447,0.56966,0.519145,0.669751,249521.86,1487.09
42,0.9,0.566767,0.514008,0.665129,0.569248,0.519464,0.670389,240846.44,1487.09
123,0.0,0.565534,0.514502,0.661833,0.561761,0.510211,0.661136,180076.73,1487.09
123,0.1,0.567564,0.516645,0.664799,0.56466,0.51372,0.664008,253136.05,1487.09
123,0.2,0.567995,0.517469,0.665129,0.564906,0.514997,0.664327,254798.06,1487.09
123,0.3,0.56858,0.518622,0.664634,0.565228,0.515475,0.664486,247518.15,1487.09
123,0.4,0.568684,0.518787,0.664469,0.565543,0.515635,0.665444,250571.98,1487.09
123,0.5,0.56869,0.518952,0.664964,0.566025,0.516273,0.665444,254454.57,1487.09
123,0.6,0.568984,0.519117,0.665293,0.566113,0.516273,0.666241,246919.84,1487.09
123,0.7,0.568633,0.518787,0.665129,0.565697,0.515795,0.66656,248868.42,1487.09
123,0.8,0.567945,0.517963,0.665953,0.564928,0.514518,0.665444,250813.18,1487.09
123,0.9,0.565063,0.515326,0.663481,0.562973,0.513082,0.664167,244137.53,1487.09
1234,0.0,0.565325,0.512854,0.666282,0.564951,0.513242,0.663689,182762.23,1487.09
1234,0.1,0.567623,0.514338,0.667436,0.567467,0.515635,0.666082,258132.9,1487.09
1234,0.2,0.56837,0.515821,0.667601,0.568554,0.518028,0.66656,259363.52,1487.09
1234,0.3,0.569017,0.516645,0.667601,0.568676,0.518347,0.667039,254346.68,1487.09
1234,0.4,0.568953,0.516645,0.667436,0.568833,0.518826,0.66672,252238.81,1487.09
1234,0.5,0.569069,0.516974,0.667601,0.569272,0.519783,0.667358,248180.42,1487.09
1234,0.6,0.569064,0.516809,0.66826,0.569431,0.519943,0.667837,248473.95,1487.09
1234,0.7,0.569249,0.517139,0.667601,0.569825,0.520421,0.667996,250476.8,1487.09
1234,0.8,0.568665,0.516809,0.665623,0.569698,0.520421,0.667518,249040.63,1487.09
1234,0.9,0.566478,0.514502,0.663481,0.567065,0.517709,0.663848,239619.61,1487.09
