method,topk,valid_mrr_mean,test_mrr_mean,test_mrr_std,h1_mean,h10_mean,lat_ms_mean,vram_mean,n_seeds,lat_per_q_ms
hybrid,0.01,0.543316,0.543022,0.005425,0.482316,0.647031,118087.21,282.41,3,14.790482
hybrid,0.05,0.558635,0.545812,0.003634,0.481547,0.659865,167879.813333,1046.1,3,21.027031
hybrid,0.1,0.568834,0.545493,0.00328,0.482316,0.657913,240674.956667,1739.726667,3,30.144659
hybrid,0.2,0.563182,0.542685,0.004507,0.480128,0.65401,375572.626667,2589.96,3,47.04066
ppr,0.01,0.483976,0.536061,0.002964,0.476225,0.636622,54631.886667,394.84,3,6.842671
ppr,0.05,0.501161,0.536947,0.004201,0.474391,0.637686,129293.906667,1714.87,3,16.194127
ppr,0.1,0.500319,0.535441,0.003572,0.473267,0.636563,216502.17,2546.87,3,27.117005
ppr,0.2,0.495898,0.529684,0.005027,0.467353,0.631535,370229.266667,3572.94,3,46.371401
rerank,0.01,0.535718,0.541355,0.004377,0.48344,0.639401,121109.096667,394.84,3,15.168975
rerank,0.05,0.565514,0.546838,0.004241,0.484504,0.657263,221710.933333,1714.87,3,27.769405
rerank,0.1,0.568414,0.544789,0.003755,0.481429,0.655666,333541.68,2546.87,3,41.776263
rerank,0.2,0.558959,0.538377,0.005985,0.474627,0.651881,566509.126667,3572.94,3,70.955552
