method,topk,valid_mrr_mean,test_mrr_mean,test_mrr_std,h1_mean,h10_mean,lat_ms_mean,vram_mean,n_seeds,lat_per_q_ms
hybrid,0.01,0.548751,0.548142,0.003685,0.504839,0.632259,41754.766667,117.226667,3,6.661577
hybrid,0.05,0.566084,0.566087,0.000671,0.519092,0.660073,60573.396667,482.336667,3,9.663911
hybrid,0.1,0.568719,0.568395,0.001545,0.519145,0.667039,82620.886667,1034.896667,3,13.181379
hybrid,0.2,0.568547,0.567391,0.002623,0.517549,0.667039,135359.336667,2322.29,3,21.595299
ppr,0.01,0.543522,0.541193,0.001459,0.496171,0.626356,35163.796667,160.37,3,5.610051
ppr,0.05,0.564512,0.564309,0.001504,0.51255,0.663423,55913.436667,729.77,3,8.920459
ppr,0.1,0.565136,0.563815,0.001724,0.511912,0.662785,94896.946667,1487.23,3,15.139909
ppr,0.2,0.562322,0.559993,0.001523,0.508562,0.656722,157700.06,3163.62,3,25.15955
rerank,0.01,0.546252,0.544614,0.001486,0.502712,0.626196,44480.893333,160.37,3,7.096505
rerank,0.05,0.56807,0.567792,0.001683,0.518879,0.666188,68700.066667,729.77,3,10.960445
rerank,0.1,0.569097,0.568494,0.002055,0.518507,0.668049,111031.726667,1487.23,3,17.71406
rerank,0.2,0.567015,0.565434,0.001284,0.514944,0.664274,175028.043333,3163.62,3,27.924066
