method,seed,topk,valid_mrr,valid_log,test_mrr,test_h1,test_h10,eval_total_ms,vram_mb,test_log
hybrid,42,0.01,0.530575,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s42_tk0.01_valid.log,0.538496,0.477466,0.642477,116618.63,272.7,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s42_tk0.01_test.log
hybrid,42,0.05,0.555082,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s42_tk0.05_valid.log,0.541643,0.476224,0.657736,160606.88,1030.77,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s42_tk0.05_test.log
hybrid,42,0.1,0.566298,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s42_tk0.1_valid.log,0.54271,0.48137,0.654897,234788.25,1724.3,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s42_tk0.1_test.log
hybrid,42,0.2,0.557575,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s42_tk0.2_valid.log,0.540561,0.478708,0.6533,361478.07,2558.71,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s42_tk0.2_test.log
hybrid,123,0.01,0.56083,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s123_tk0.01_valid.log,0.549036,0.483676,0.664656,120743.15,286.43,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s123_tk0.01_test.log
hybrid,123,0.05,0.565572,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s123_tk0.05_valid.log,0.548311,0.482434,0.664833,175689.17,1069.22,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s123_tk0.05_test.log
hybrid,123,0.1,0.571279,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s123_tk0.1_valid.log,0.544659,0.477999,0.661639,252434.41,1763.42,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s123_tk0.1_test.log
hybrid,123,0.2,0.562944,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s123_tk0.2_valid.log,0.539632,0.475869,0.654187,403301.23,2631.42,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s123_tk0.2_test.log
hybrid,1234,0.01,0.538542,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s1234_tk0.01_valid.log,0.541535,0.485806,0.63396,116899.85,288.1,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s1234_tk0.01_test.log
hybrid,1234,0.05,0.555252,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s1234_tk0.05_valid.log,0.547483,0.485983,0.657026,167343.39,1038.31,/home/vanba/KLTN/one-shot-subgraph/grid_t78_nell/hybrid_s1234_tk0.05_test.log
