method,seed,topk,valid_mrr,valid_log,test_mrr,test_h1,test_h10,eval_total_ms,vram_mb,test_log
hybrid,42,0.01,0.551672,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s42_tk0.01_valid.log,0.551498,0.508934,0.634812,38785.96,118.81,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s42_tk0.01_test.log
hybrid,42,0.05,0.565044,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s42_tk0.05_valid.log,0.566855,0.520262,0.661934,61046.25,469.05,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s42_tk0.05_test.log
hybrid,42,0.1,0.568241,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s42_tk0.1_valid.log,0.569501,0.52074,0.668475,81205.68,1021.99,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s42_tk0.1_test.log
hybrid,42,0.2,0.568074,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s42_tk0.2_valid.log,0.56919,0.518507,0.668634,136767.08,2360.37,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s42_tk0.2_test.log
hybrid,123,0.01,0.550269,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s123_tk0.01_valid.log,0.548729,0.503669,0.637524,45709.64,119.75,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s123_tk0.01_test.log
hybrid,123,0.05,0.567631,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s123_tk0.05_valid.log,0.565787,0.518826,0.658743,65111.14,521.22,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s123_tk0.05_test.log
hybrid,123,0.1,0.569138,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s123_tk0.1_valid.log,0.56663,0.51739,0.666082,85121.4,1141.27,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s123_tk0.1_test.log
hybrid,123,0.2,0.568312,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s123_tk0.2_valid.log,0.564381,0.515156,0.665603,141105.28,2558.39,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s123_tk0.2_test.log
hybrid,1234,0.01,0.544312,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s1234_tk0.01_valid.log,0.544198,0.501914,0.624442,40768.7,113.12,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s1234_tk0.01_test.log
hybrid,1234,0.05,0.565578,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s1234_tk0.05_valid.log,0.565618,0.518188,0.659541,55562.8,456.74,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s1234_tk0.05_test.log
